label,DAPI1st,DAPI2nd,DAPI3rd,MBP488,GAD647,GABA488,gephyrin594,GS594,Synapsin647,VGluT1_647,PSD95_488,NR1594
123,27103187.0,7211928.0,8819039.0,774293.0,9801830.0,1158929.0,2570115.0,2783293.0,8991380.0,7285265.0,6453038.0,1653761.0
124,26078075.0,7062252.0,8898474.0,353498.0,7689992.0,967260.0,2718109.0,2993800.0,5520823.0,3201169.0,2818252.0,1634060.0
125,29726976.0,6680945.0,8466395.0,494507.0,8070607.0,1500772.0,2603568.0,2832761.0,8231292.0,4345662.0,5556515.0,1127844.0
126,27121599.0,5826459.0,7531393.0,674985.0,7806798.0,1881431.0,2784617.0,3537841.0,5993141.0,2716418.0,1326679.0,868512.0
127,28048486.0,6049720.0,7920348.0,133737.0,6977890.0,1175472.0,2517898.0,3036138.0,7700954.0,2607317.0,2409635.0,853680.0
128,29980868.0,6011195.0,7955232.0,266727.0,7119915.0,1045320.0,2722889.0,2713492.0,11347967.0,4174254.0,2594483.0,1886430.0
129,26030293.0,6140423.0,7988690.0,195491.0,6830663.0,1476022.0,2663105.0,3342088.0,6111498.0,3920758.0,2972552.0,1022632.0
130,22668230.0,6591327.0,8577690.0,632594.0,8989249.0,1882141.0,2402672.0,3499637.0,6463750.0,2925268.0,3631899.0,1015611.0
131,24906854.0,7124098.0,8869159.0,794229.0,8092594.0,861281.0,2358862.0,3598876.0,4946561.0,2803947.0,991213.0,1430781.0
132,24960202.0,6592805.0,7627324.0,183691.0,7168535.0,1943841.0,2573769.0,3023216.0,5192914.0,2697183.0,1543657.0,1270748.0
133,23588449.0,6485788.0,7500584.0,595107.0,8910149.0,320864.0,2453779.0,3024529.0,13338301.0,4393815.0,3889304.0,1311911.0
134,22346712.0,6466397.0,7863340.0,653503.0,8577589.0,340188.0,2448329.0,2802611.0,11458638.0,4191067.0,4405877.0,1233125.0
135,23744050.0,6834936.0,8560007.0,615914.0,10761538.0,1353200.0,2281282.0,3715801.0,9712655.0,5452301.0,7313728.0,1800282.0
136,23397537.0,6607293.0,8329215.0,621984.0,8593621.0,2890970.0,2373025.0,3563360.0,5505254.0,3006648.0,2941010.0,1122243.0
137,27433858.0,7272191.0,9050601.0,685685.0,8103220.0,1557545.0,2286673.0,4292649.0,4847326.0,2550288.0,2095513.0,2671855.0
